city_name,temperature_c,humidity_percent,wind_speed_mps,weather_main,weather_description,date_pkt,time_pkt
Lodhran,41.65,30,7.33,Clouds,overcast clouds,2025-07-08,15:29:36
Lalamusa,29.3,57,2.97,Clouds,overcast clouds,2025-07-08,15:29:02
Mandi Bahauddin,32.32,52,3.53,Clouds,overcast clouds,2025-07-08,15:29:36
Kotri,38.99,37,5.3,Clouds,broken clouds,2025-07-08,15:29:37
Layyah,41.46,31,5.27,Clouds,broken clouds,2025-07-08,15:26:22
Khushāb,38.88,35,0.11,Clouds,broken clouds,2025-07-08,15:29:38
Kharian,29.88,55,2.53,Clouds,overcast clouds,2025-07-08,15:29:38
Kohat,34.56,50,3.9,Clouds,broken clouds,2025-07-08,15:29:43
Kabirwala,42.77,27,5.39,Clouds,overcast clouds,2025-07-08,15:29:43
Jalalpur Jattan,27.78,62,2.92,Clouds,overcast clouds,2025-07-08,15:29:43
Kahror Pakka,40.82,32,5.84,Clouds,overcast clouds,2025-07-08,15:29:43
Kandhkot,42.83,29,5.42,Clouds,scattered clouds,2025-07-08,15:29:43
Jampur,41.39,31,7.58,Clouds,overcast clouds,2025-07-08,15:29:44
Hujra Shah Muqim,35.68,40,3.04,Clouds,overcast clouds,2025-07-08,15:29:45
Hasilpur,40.54,32,6.19,Clouds,overcast clouds,2025-07-08,15:29:45
Harunabad,39.44,34,4.5,Clouds,overcast clouds,2025-07-08,15:29:45
Gujar Khan,31.31,58,2.28,Rain,light rain,2025-07-08,15:29:45
Hafizabad,31.62,51,4.36,Clouds,overcast clouds,2025-07-08,15:29:45
Ghotki,42.22,30,5.54,Clouds,few clouds,2025-07-08,15:29:45
Daska Kalan,27.61,64,3.14,Clouds,overcast clouds,2025-07-08,15:29:46
Haveli Lakha,37.9,35,4.28,Clouds,overcast clouds,2025-07-08,15:29:46
Dipalpur,36.78,37,3.44,Clouds,overcast clouds,2025-07-08,15:29:46
Dadu,40.82,32,6.11,Clouds,scattered clouds,2025-07-08,15:29:46
Chunian,33.35,47,3.72,Clouds,overcast clouds,2025-07-08,15:29:46
Chuhar Kana,31.27,54,0.45,Clouds,overcast clouds,2025-07-08,15:29:47
Chichawatni,41.19,29,5.4,Clouds,overcast clouds,2025-07-08,15:29:47
Tando Muhammad Khan,37.28,42,7.69,Clouds,broken clouds,2025-07-08,15:29:48
Tando Allahyar,39.15,37,7.49,Clouds,scattered clouds,2025-07-08,15:29:48
